IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
-68,-69,75.0,98.0,16.0,3.00,Strong Perf.
-67,-68,75.0,98.0,16.0,3.00,Strong Perf.
-66,-67,75.0,98.0,16.0,3.00,Strong Perf.
-65,-65,75.0,98.0,16.0,3.00,Strong Perf.
-64,-64,75.0,98.0,16.0,3.00,Strong Perf.
-62,-62,75.0,98.0,16.0,3.00,Strong Perf.
-60,-60,75.0,98.0,16.0,3.00,Strong Perf.
-59,-59,75.0,98.0,16.0,3.00,Strong Perf.
-57,-57,75.0,98.0,16.0,3.00,Strong Perf.
254,93,75.0,98.0,16.0,3.00,Strong Perf.
476,200,75.0,98.0,16.0,3.00,Strong Perf.
772,344,75.0,98.0,16.0,3.00,Strong Perf.
1116,510,75.0,98.0,16.0,3.00,Strong Perf.
1458,675,75.0,98.0,16.0,3.00,Strong Perf.
1732,808,75.0,98.0,16.0,3.00,Strong Perf.
1882,881,75.0,98.0,16.0,3.00,Strong Perf.
1876,880,75.0,98.0,16.0,3.00,Strong Perf.
1711,802,75.0,98.0,16.0,3.00,Strong Perf.
1407,657,75.0,98.0,16.0,3.00,Strong Perf.
1043,484,75.0,98.0,16.0,3.00,Strong Perf.
774,356,75.0,98.0,16.0,3.00,Strong Perf.
710,327,75.0,98.0,16.0,3.00,Strong Perf.
791,367,75.0,98.0,16.0,3.00,Strong Perf.
874,408,75.0,98.0,16.0,3.00,Strong Perf.
887,416,75.0,98.0,16.0,3.00,Strong Perf.
839,394,75.0,98.0,16.0,3.00,Strong Perf.
755,355,75.0,98.0,16.0,3.00,Strong Perf.
651,307,75.0,98.0,16.0,3.00,Strong Perf.
540,255,75.0,98.0,16.0,3.00,Strong Perf.
429,203,75.0,98.0,16.0,3.00,Strong Perf.
328,156,75.0,98.0,16.0,3.00,Strong Perf.
241,116,75.0,98.0,16.0,3.00,Strong Perf.
171,84,75.0,98.0,16.0,3.00,Strong Perf.
118,60,75.0,98.0,16.0,3.00,Strong Perf.
81,44,75.0,98.0,16.0,3.00,Strong Perf.
56,34,75.0,98.0,16.0,3.00,Strong Perf.
41,28,75.0,98.0,16.0,3.00,Strong Perf.
33,25,75.0,98.0,16.0,3.00,Strong Perf.
29,25,75.0,98.0,16.0,3.00,Strong Perf.
28,26,75.0,98.0,16.0,3.00,Strong Perf.
29,28,75.0,98.0,16.0,3.00,Strong Perf.
31,31,75.0,98.0,16.0,3.00,Strong Perf.
33,33,75.0,98.0,16.0,3.00,Strong Perf.
36,36,75.0,98.0,16.0,3.00,Strong Perf.
39,39,75.0,98.0,16.0,3.00,Strong Perf.
41,41,75.0,98.0,16.0,3.00,Strong Perf.
44,44,75.0,98.0,16.0,3.00,Strong Perf.
47,47,75.0,98.0,16.0,3.00,Strong Perf.
49,49,75.0,98.0,16.0,3.00,Strong Perf.
52,52,75.0,98.0,16.0,3.00,Strong Perf.
684,356,75.0,98.0,16.0,3.00,Strong Perf.
1035,526,75.0,98.0,16.0,3.00,Strong Perf.
1451,727,75.0,98.0,16.0,3.00,Strong Perf.
1876,932,75.0,98.0,16.0,3.00,Strong Perf.
2234,1105,75.0,98.0,16.0,3.00,Strong Perf.
2457,1213,75.0,98.0,16.0,3.00,Strong Perf.
2501,1235,75.0,98.0,16.0,3.00,Strong Perf.
2354,1166,75.0,98.0,16.0,3.00,Strong Perf.
2031,1012,75.0,98.0,16.0,3.00,Strong Perf.
1592,802,75.0,98.0,16.0,3.00,Strong Perf.
1186,608,75.0,98.0,16.0,3.00,Strong Perf.
980,511,75.0,98.0,16.0,3.00,Strong Perf.
1001,521,75.0,98.0,16.0,3.00,Strong Perf.
