IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
1555,747,20.0,98.0,16.0,3.00,Normal
1826,879,20.0,98.0,16.0,3.00,Normal
2083,1003,20.0,98.0,16.0,3.00,Normal
2310,1114,20.0,98.0,16.0,3.00,Normal
2490,1202,20.0,98.0,16.0,3.00,Normal
2611,1261,20.0,98.0,16.0,3.00,Normal
2665,1289,20.0,98.0,16.0,3.00,Normal
2648,1282,20.0,98.0,16.0,3.00,Normal
2559,1240,20.0,98.0,16.0,3.00,Normal
2402,1167,20.0,98.0,16.0,3.00,Normal
2184,1063,20.0,98.0,16.0,3.00,Normal
1919,937,20.0,98.0,16.0,3.00,Normal
1628,799,20.0,98.0,16.0,3.00,Normal
1343,664,20.0,98.0,16.0,3.00,Normal
1099,548,20.0,98.0,16.0,3.00,Normal
926,466,20.0,98.0,16.0,3.00,Normal
833,423,20.0,98.0,16.0,3.00,Normal
810,413,20.0,98.0,16.0,3.00,Normal
832,424,20.0,98.0,16.0,3.00,Normal
867,443,20.0,98.0,16.0,3.00,Normal
896,457,20.0,98.0,16.0,3.00,Normal
906,463,20.0,98.0,16.0,3.00,Normal
898,461,20.0,98.0,16.0,3.00,Normal
875,450,20.0,98.0,16.0,3.00,Normal
840,435,20.0,98.0,16.0,3.00,Normal
797,415,20.0,98.0,16.0,3.00,Normal
749,393,20.0,98.0,16.0,3.00,Normal
696,368,20.0,98.0,16.0,3.00,Normal
669,355,20.0,98.0,16.0,3.00,Normal
612,329,20.0,98.0,16.0,3.00,Normal
555,302,20.0,98.0,16.0,3.00,Normal
471,263,20.0,98.0,16.0,3.00,Normal
444,250,20.0,98.0,16.0,3.00,Normal
392,226,20.0,98.0,16.0,3.00,Normal
344,203,20.0,98.0,16.0,3.00,Normal
300,183,20.0,98.0,16.0,3.00,Normal
261,164,20.0,98.0,16.0,3.00,Normal
227,149,20.0,98.0,16.0,3.00,Normal
198,135,20.0,98.0,16.0,3.00,Normal
173,123,20.0,98.0,16.0,3.00,Normal
153,114,20.0,98.0,16.0,3.00,Normal
136,106,20.0,98.0,16.0,3.00,Normal
122,99,20.0,98.0,16.0,3.00,Normal
111,94,20.0,98.0,16.0,3.00,Normal
103,90,20.0,98.0,16.0,3.00,Normal
96,87,20.0,98.0,16.0,3.00,Normal
91,84,20.0,98.0,16.0,3.00,Normal
87,82,20.0,98.0,16.0,3.00,Normal
84,81,20.0,98.0,16.0,3.00,Normal
82,79,20.0,98.0,16.0,3.00,Normal
80,78,20.0,98.0,16.0,3.00,Normal
78,77,20.0,98.0,16.0,3.00,Normal
77,76,20.0,98.0,16.0,3.00,Normal
76,75,20.0,98.0,16.0,3.00,Normal
74,74,20.0,98.0,16.0,3.00,Normal
73,73,20.0,98.0,16.0,3.00,Normal
72,72,20.0,98.0,16.0,3.00,Normal
71,71,20.0,98.0,16.0,3.00,Normal
70,70,20.0,98.0,16.0,3.00,Normal
69,69,20.0,98.0,16.0,3.00,Normal
67,67,20.0,98.0,16.0,3.00,Normal
66,66,20.0,98.0,16.0,3.00,Normal
64,64,20.0,98.0,16.0,3.00,Normal
63,63,20.0,98.0,16.0,3.00,Normal
61,61,20.0,98.0,16.0,3.00,Normal
60,60,20.0,98.0,16.0,3.00,Normal
59,59,20.0,98.0,16.0,3.00,Normal
57,57,20.0,98.0,16.0,3.00,Normal
55,55,20.0,98.0,16.0,3.00,Normal
795,409,20.0,98.0,16.0,3.00,Normal
1017,515,20.0,98.0,16.0,3.00,Normal
1274,637,20.0,98.0,16.0,3.00,Normal
1562,774,20.0,98.0,16.0,3.00,Normal
1871,922,20.0,98.0,16.0,3.00,Normal
2189,1073,20.0,98.0,16.0,3.00,Normal
2500,1221,20.0,98.0,16.0,3.00,Normal
2787,1358,20.0,98.0,16.0,3.00,Normal
3032,1474,20.0,98.0,16.0,3.00,Normal
3220,1564,20.0,98.0,16.0,3.00,Normal
3340,1620,20.0,98.0,16.0,3.00,Normal
3382,1639,20.0,98.0,16.0,3.00,Normal
3345,1620,20.0,98.0,16.0,3.00,Normal
3230,1564,20.0,98.0,16.0,3.00,Normal
3043,1472,20.0,98.0,16.0,3.00,Normal
2790,1350,20.0,98.0,16.0,3.00,Normal
2485,1202,20.0,98.0,16.0,3.00,Normal
2144,1037,20.0,98.0,16.0,3.00,Normal
1794,868,20.0,98.0,16.0,3.00,Normal
1465,708,20.0,98.0,16.0,3.00,Normal
1190,575,20.0,98.0,16.0,3.00,Normal
991,478,20.0,98.0,16.0,3.00,Normal
875,421,20.0,98.0,16.0,3.00,Normal
829,398,20.0,98.0,16.0,3.00,Normal
829,397,20.0,98.0,16.0,3.00,Normal
