IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
1467,751,75.0,98.0,16.0,3.00,Normal
1105,577,75.0,98.0,16.0,3.00,Normal
1010,531,75.0,98.0,16.0,3.00,Normal
1049,549,75.0,98.0,16.0,3.00,Normal
1079,562,75.0,98.0,16.0,3.00,Normal
1050,547,75.0,98.0,16.0,3.00,Normal
975,510,75.0,98.0,16.0,3.00,Normal
875,461,75.0,98.0,16.0,3.00,Normal
762,406,75.0,98.0,16.0,3.00,Normal
645,348,75.0,98.0,16.0,3.00,Normal
530,292,75.0,98.0,16.0,3.00,Normal
424,239,75.0,98.0,16.0,3.00,Normal
331,193,75.0,98.0,16.0,3.00,Normal
254,155,75.0,98.0,16.0,3.00,Normal
193,124,75.0,98.0,16.0,3.00,Normal
146,101,75.0,98.0,16.0,3.00,Normal
112,83,75.0,98.0,16.0,3.00,Normal
88,70,75.0,98.0,16.0,3.00,Normal
71,60,75.0,98.0,16.0,3.00,Normal
64,56,75.0,98.0,16.0,3.00,Normal
54,50,75.0,98.0,16.0,3.00,Normal
47,45,75.0,98.0,16.0,3.00,Normal
42,40,75.0,98.0,16.0,3.00,Normal
37,37,75.0,98.0,16.0,3.00,Normal
33,33,75.0,98.0,16.0,3.00,Normal
30,30,75.0,98.0,16.0,3.00,Normal
26,26,75.0,98.0,16.0,3.00,Normal
23,23,75.0,98.0,16.0,3.00,Normal
20,20,75.0,98.0,16.0,3.00,Normal
16,16,75.0,98.0,16.0,3.00,Normal
13,13,75.0,98.0,16.0,3.00,Normal
10,10,75.0,98.0,16.0,3.00,Normal
6,6,75.0,98.0,16.0,3.00,Normal
742,358,75.0,98.0,16.0,3.00,Normal
1176,564,75.0,98.0,16.0,3.00,Normal
1698,813,75.0,98.0,16.0,3.00,Normal
2230,1067,75.0,98.0,16.0,3.00,Normal
2664,1273,75.0,98.0,16.0,3.00,Normal
2900,1385,75.0,98.0,16.0,3.00,Normal
2883,1375,75.0,98.0,16.0,3.00,Normal
2613,1244,75.0,98.0,16.0,3.00,Normal
2132,1011,75.0,98.0,16.0,3.00,Normal
1543,727,75.0,98.0,16.0,3.00,Normal
1025,477,75.0,98.0,16.0,3.00,Normal
748,342,75.0,98.0,16.0,3.00,Normal
705,321,75.0,98.0,16.0,3.00,Normal
721,327,75.0,98.0,16.0,3.00,Normal
743,336,75.0,98.0,16.0,3.00,Normal
713,320,75.0,98.0,16.0,3.00,Normal
641,284,75.0,98.0,16.0,3.00,Normal
550,239,75.0,98.0,16.0,3.00,Normal
450,189,75.0,98.0,16.0,3.00,Normal
349,139,75.0,98.0,16.0,3.00,Normal
254,92,75.0,98.0,16.0,3.00,Normal
170,51,75.0,98.0,16.0,3.00,Normal
100,16,75.0,98.0,16.0,3.00,Normal
46,-10,75.0,98.0,16.0,3.00,Normal
5,-31,75.0,98.0,16.0,3.00,Normal
-23,-46,75.0,98.0,16.0,3.00,Normal
-43,-57,75.0,98.0,16.0,3.00,Normal
-57,-64,75.0,98.0,16.0,3.00,Normal
-65,-70,75.0,98.0,16.0,3.00,Normal
-71,-73,75.0,98.0,16.0,3.00,Normal
-75,-76,75.0,98.0,16.0,3.00,Normal
-78,-78,75.0,98.0,16.0,3.00,Normal
-79,-79,75.0,98.0,16.0,3.00,Normal
-81,-81,75.0,98.0,16.0,3.00,Normal
-82,-82,75.0,98.0,16.0,3.00,Normal
-84,-84,75.0,98.0,16.0,3.00,Normal
-85,-85,75.0,98.0,16.0,3.00,Normal
-86,-86,75.0,98.0,16.0,3.00,Normal
-87,-87,75.0,98.0,16.0,3.00,Normal
-88,-88,75.0,98.0,16.0,3.00,Normal
-88,-88,75.0,98.0,16.0,3.00,Normal
454,171,75.0,98.0,16.0,3.00,Normal
772,323,75.0,98.0,16.0,3.00,Normal
1146,503,75.0,98.0,16.0,3.00,Normal
1514,679,75.0,98.0,16.0,3.00,Normal
1795,814,75.0,98.0,16.0,3.00,Normal
1924,876,75.0,98.0,16.0,3.00,Normal
1866,848,75.0,98.0,16.0,3.00,Normal
1632,736,75.0,98.0,16.0,3.00,Normal
1263,559,75.0,98.0,16.0,3.00,Normal
852,362,75.0,98.0,16.0,3.00,Normal
678,278,75.0,98.0,16.0,3.00,Normal
467,177,75.0,98.0,16.0,3.00,Normal
432,161,75.0,98.0,16.0,3.00,Normal
463,176,75.0,98.0,16.0,3.00,Normal
468,179,75.0,98.0,16.0,3.00,Normal
435,163,75.0,98.0,16.0,3.00,Normal
380,137,75.0,98.0,16.0,3.00,Normal
314,106,75.0,98.0,16.0,3.00,Normal
243,73,75.0,98.0,16.0,3.00,Normal
175,41,75.0,98.0,16.0,3.00,Normal
112,12,75.0,98.0,16.0,3.00,Normal
59,-12,75.0,98.0,16.0,3.00,Normal
17,-31,75.0,98.0,16.0,3.00,Normal
-13,-45,75.0,98.0,16.0,3.00,Normal
-34,-55,75.0,98.0,16.0,3.00,Normal
-48,-60,75.0,98.0,16.0,3.00,Normal
-53,-62,75.0,98.0,16.0,3.00,Normal
-59,-64,75.0,98.0,16.0,3.00,Normal
-61,-64,75.0,98.0,16.0,3.00,Normal
-62,-63,75.0,98.0,16.0,3.00,Normal
-61,-62,75.0,98.0,16.0,3.00,Normal
-59,-60,75.0,98.0,16.0,3.00,Normal
-57,-58,75.0,98.0,16.0,3.00,Normal
-55,-55,75.0,98.0,16.0,3.00,Normal
-53,-53,75.0,98.0,16.0,3.00,Normal
-50,-50,75.0,98.0,16.0,3.00,Normal
-48,-48,75.0,98.0,16.0,3.00,Normal
-45,-45,75.0,98.0,16.0,3.00,Normal
-43,-43,75.0,98.0,16.0,3.00,Normal
-40,-40,75.0,98.0,16.0,3.00,Normal
586,262,75.0,98.0,16.0,3.00,Normal
976,450,75.0,98.0,16.0,3.00,Normal
1432,671,75.0,98.0,16.0,3.00,Normal
1869,882,75.0,98.0,16.0,3.00,Normal
2047,968,75.0,98.0,16.0,3.00,Normal
2262,1073,75.0,98.0,16.0,3.00,Normal
2247,1067,75.0,98.0,16.0,3.00,Normal
2000,950,75.0,98.0,16.0,3.00,Normal
1567,743,75.0,98.0,16.0,3.00,Normal
1075,509,75.0,98.0,16.0,3.00,Normal
726,343,75.0,98.0,16.0,3.00,Normal
627,297,75.0,98.0,16.0,3.00,Normal
668,318,75.0,98.0,16.0,3.00,Normal
696,333,75.0,98.0,16.0,3.00,Normal
