IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
2344,1126,20.0,98.0,16.0,3.00,Weak Perf.
2441,1172,20.0,98.0,16.0,3.00,Weak Perf.
2488,1192,20.0,98.0,16.0,3.00,Weak Perf.
2480,1188,20.0,98.0,16.0,3.00,Weak Perf.
2421,1158,20.0,98.0,16.0,3.00,Weak Perf.
2316,1106,20.0,98.0,16.0,3.00,Weak Perf.
2171,1035,20.0,98.0,16.0,3.00,Weak Perf.
1996,950,20.0,98.0,16.0,3.00,Weak Perf.
1802,856,20.0,98.0,16.0,3.00,Weak Perf.
1601,759,20.0,98.0,16.0,3.00,Weak Perf.
1405,663,20.0,98.0,16.0,3.00,Weak Perf.
1224,575,20.0,98.0,16.0,3.00,Weak Perf.
1142,535,20.0,98.0,16.0,3.00,Weak Perf.
1000,466,20.0,98.0,16.0,3.00,Weak Perf.
889,412,20.0,98.0,16.0,3.00,Weak Perf.
806,371,20.0,98.0,16.0,3.00,Weak Perf.
747,341,20.0,98.0,16.0,3.00,Weak Perf.
703,319,20.0,98.0,16.0,3.00,Weak Perf.
668,301,20.0,98.0,16.0,3.00,Weak Perf.
637,286,20.0,98.0,16.0,3.00,Weak Perf.
607,270,20.0,98.0,16.0,3.00,Weak Perf.
575,254,20.0,98.0,16.0,3.00,Weak Perf.
541,237,20.0,98.0,16.0,3.00,Weak Perf.
506,219,20.0,98.0,16.0,3.00,Weak Perf.
469,200,20.0,98.0,16.0,3.00,Weak Perf.
430,181,20.0,98.0,16.0,3.00,Weak Perf.
390,161,20.0,98.0,16.0,3.00,Weak Perf.
349,140,20.0,98.0,16.0,3.00,Weak Perf.
308,120,20.0,98.0,16.0,3.00,Weak Perf.
268,100,20.0,98.0,16.0,3.00,Weak Perf.
249,91,20.0,98.0,16.0,3.00,Weak Perf.
211,72,20.0,98.0,16.0,3.00,Weak Perf.
175,54,20.0,98.0,16.0,3.00,Weak Perf.
142,38,20.0,98.0,16.0,3.00,Weak Perf.
111,22,20.0,98.0,16.0,3.00,Weak Perf.
83,9,20.0,98.0,16.0,3.00,Weak Perf.
59,-3,20.0,98.0,16.0,3.00,Weak Perf.
37,-13,20.0,98.0,16.0,3.00,Weak Perf.
18,-23,20.0,98.0,16.0,3.00,Weak Perf.
2,-31,20.0,98.0,16.0,3.00,Weak Perf.
-10,-38,20.0,98.0,16.0,3.00,Weak Perf.
-22,-43,20.0,98.0,16.0,3.00,Weak Perf.
-31,-48,20.0,98.0,16.0,3.00,Weak Perf.
-39,-52,20.0,98.0,16.0,3.00,Weak Perf.
-45,-55,20.0,98.0,16.0,3.00,Weak Perf.
-49,-57,20.0,98.0,16.0,3.00,Weak Perf.
-53,-59,20.0,98.0,16.0,3.00,Weak Perf.
-56,-60,20.0,98.0,16.0,3.00,Weak Perf.
-58,-61,20.0,98.0,16.0,3.00,Weak Perf.
-60,-62,20.0,98.0,16.0,3.00,Weak Perf.
-61,-62,20.0,98.0,16.0,3.00,Weak Perf.
-61,-62,20.0,98.0,16.0,3.00,Weak Perf.
-61,-62,20.0,98.0,16.0,3.00,Weak Perf.
-61,-62,20.0,98.0,16.0,3.00,Weak Perf.
-61,-62,20.0,98.0,16.0,3.00,Weak Perf.
-61,-61,20.0,98.0,16.0,3.00,Weak Perf.
-60,-61,20.0,98.0,16.0,3.00,Weak Perf.
-60,-60,20.0,98.0,16.0,3.00,Weak Perf.
-59,-59,20.0,98.0,16.0,3.00,Weak Perf.
-58,-58,20.0,98.0,16.0,3.00,Weak Perf.
-58,-58,20.0,98.0,16.0,3.00,Weak Perf.
-57,-57,20.0,98.0,16.0,3.00,Weak Perf.
-56,-56,20.0,98.0,16.0,3.00,Weak Perf.
-55,-55,20.0,98.0,16.0,3.00,Weak Perf.
-54,-54,20.0,98.0,16.0,3.00,Weak Perf.
-53,-53,20.0,98.0,16.0,3.00,Weak Perf.
-52,-52,20.0,98.0,16.0,3.00,Weak Perf.
-50,-50,20.0,98.0,16.0,3.00,Weak Perf.
-49,-49,20.0,98.0,16.0,3.00,Weak Perf.
-48,-48,20.0,98.0,16.0,3.00,Weak Perf.
-46,-46,20.0,98.0,16.0,3.00,Weak Perf.
-45,-45,20.0,98.0,16.0,3.00,Weak Perf.
-43,-43,20.0,98.0,16.0,3.00,Weak Perf.
315,129,20.0,98.0,16.0,3.00,Weak Perf.
437,188,20.0,98.0,16.0,3.00,Weak Perf.
581,258,20.0,98.0,16.0,3.00,Weak Perf.
744,337,20.0,98.0,16.0,3.00,Weak Perf.
922,424,20.0,98.0,16.0,3.00,Weak Perf.
1106,513,20.0,98.0,16.0,3.00,Weak Perf.
1286,600,20.0,98.0,16.0,3.00,Weak Perf.
1451,680,20.0,98.0,16.0,3.00,Weak Perf.
1590,748,20.0,98.0,16.0,3.00,Weak Perf.
1694,799,20.0,98.0,16.0,3.00,Weak Perf.
1730,817,20.0,98.0,16.0,3.00,Weak Perf.
1769,836,20.0,98.0,16.0,3.00,Weak Perf.
1761,833,20.0,98.0,16.0,3.00,Weak Perf.
1709,810,20.0,98.0,16.0,3.00,Weak Perf.
1619,767,20.0,98.0,16.0,3.00,Weak Perf.
1498,710,20.0,98.0,16.0,3.00,Weak Perf.
1356,643,20.0,98.0,16.0,3.00,Weak Perf.
1206,572,20.0,98.0,16.0,3.00,Weak Perf.
1059,502,20.0,98.0,16.0,3.00,Weak Perf.
928,440,20.0,98.0,16.0,3.00,Weak Perf.
821,390,20.0,98.0,16.0,3.00,Weak Perf.
742,353,20.0,98.0,16.0,3.00,Weak Perf.
689,329,20.0,98.0,16.0,3.00,Weak Perf.
656,314,20.0,98.0,16.0,3.00,Weak Perf.
634,304,20.0,98.0,16.0,3.00,Weak Perf.
618,297,20.0,98.0,16.0,3.00,Weak Perf.
601,291,20.0,98.0,16.0,3.00,Weak Perf.
583,283,20.0,98.0,16.0,3.00,Weak Perf.
561,273,20.0,98.0,16.0,3.00,Weak Perf.
536,262,20.0,98.0,16.0,3.00,Weak Perf.
508,249,20.0,98.0,16.0,3.00,Weak Perf.
476,235,20.0,98.0,16.0,3.00,Weak Perf.
442,219,20.0,98.0,16.0,3.00,Weak Perf.
405,203,20.0,98.0,16.0,3.00,Weak Perf.
368,186,20.0,98.0,16.0,3.00,Weak Perf.
331,169,20.0,98.0,16.0,3.00,Weak Perf.
294,152,20.0,98.0,16.0,3.00,Weak Perf.
276,144,20.0,98.0,16.0,3.00,Weak Perf.
242,128,20.0,98.0,16.0,3.00,Weak Perf.
210,114,20.0,98.0,16.0,3.00,Weak Perf.
182,101,20.0,98.0,16.0,3.00,Weak Perf.
156,90,20.0,98.0,16.0,3.00,Weak Perf.
134,80,20.0,98.0,16.0,3.00,Weak Perf.
115,71,20.0,98.0,16.0,3.00,Weak Perf.
99,64,20.0,98.0,16.0,3.00,Weak Perf.
86,59,20.0,98.0,16.0,3.00,Weak Perf.
75,54,20.0,98.0,16.0,3.00,Weak Perf.
67,51,20.0,98.0,16.0,3.00,Weak Perf.
60,48,20.0,98.0,16.0,3.00,Weak Perf.
55,46,20.0,98.0,16.0,3.00,Weak Perf.
