IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
283,156,75.0,98.0,16.0,3.00,Normal
214,124,75.0,98.0,16.0,3.00,Normal
139,90,75.0,98.0,16.0,3.00,Normal
121,82,75.0,98.0,16.0,3.00,Normal
94,71,75.0,98.0,16.0,3.00,Normal
72,61,75.0,98.0,16.0,3.00,Normal
65,59,75.0,98.0,16.0,3.00,Normal
61,58,75.0,98.0,16.0,3.00,Normal
60,59,75.0,98.0,16.0,3.00,Normal
61,60,75.0,98.0,16.0,3.00,Normal
62,62,75.0,98.0,16.0,3.00,Normal
63,63,75.0,98.0,16.0,3.00,Normal
64,64,75.0,98.0,16.0,3.00,Normal
65,65,75.0,98.0,16.0,3.00,Normal
67,67,75.0,98.0,16.0,3.00,Normal
68,68,75.0,98.0,16.0,3.00,Normal
70,70,75.0,98.0,16.0,3.00,Normal
71,71,75.0,98.0,16.0,3.00,Normal
810,427,75.0,98.0,16.0,3.00,Normal
1252,639,75.0,98.0,16.0,3.00,Normal
1799,902,75.0,98.0,16.0,3.00,Normal
2389,1186,75.0,98.0,16.0,3.00,Normal
2923,1442,75.0,98.0,16.0,3.00,Normal
3296,1622,75.0,98.0,16.0,3.00,Normal
3429,1686,75.0,98.0,16.0,3.00,Normal
3292,1620,75.0,98.0,16.0,3.00,Normal
2902,1433,75.0,98.0,16.0,3.00,Normal
2320,1154,75.0,98.0,16.0,3.00,Normal
1684,849,75.0,98.0,16.0,3.00,Normal
1199,616,75.0,98.0,16.0,3.00,Normal
995,518,75.0,98.0,16.0,3.00,Normal
1004,522,75.0,98.0,16.0,3.00,Normal
1055,547,75.0,98.0,16.0,3.00,Normal
1053,546,75.0,98.0,16.0,3.00,Normal
995,518,75.0,98.0,16.0,3.00,Normal
903,473,75.0,98.0,16.0,3.00,Normal
794,421,75.0,98.0,16.0,3.00,Normal
677,364,75.0,98.0,16.0,3.00,Normal
560,307,75.0,98.0,16.0,3.00,Normal
450,254,75.0,98.0,16.0,3.00,Normal
353,208,75.0,98.0,16.0,3.00,Normal
273,168,75.0,98.0,16.0,3.00,Normal
209,137,75.0,98.0,16.0,3.00,Normal
161,114,75.0,98.0,16.0,3.00,Normal
127,96,75.0,98.0,16.0,3.00,Normal
103,84,75.0,98.0,16.0,3.00,Normal
87,76,75.0,98.0,16.0,3.00,Normal
76,70,75.0,98.0,16.0,3.00,Normal
69,66,75.0,98.0,16.0,3.00,Normal
65,63,75.0,98.0,16.0,3.00,Normal
61,60,75.0,98.0,16.0,3.00,Normal
59,58,75.0,98.0,16.0,3.00,Normal
56,56,75.0,98.0,16.0,3.00,Normal
54,54,75.0,98.0,16.0,3.00,Normal
52,52,75.0,98.0,16.0,3.00,Normal
50,50,75.0,98.0,16.0,3.00,Normal
48,48,75.0,98.0,16.0,3.00,Normal
46,46,75.0,98.0,16.0,3.00,Normal
44,44,75.0,98.0,16.0,3.00,Normal
42,42,75.0,98.0,16.0,3.00,Normal
795,402,75.0,98.0,16.0,3.00,Normal
1223,607,75.0,98.0,16.0,3.00,Normal
1738,853,75.0,98.0,16.0,3.00,Normal
2275,1109,75.0,98.0,16.0,3.00,Normal
2737,1330,75.0,98.0,16.0,3.00,Normal
3029,1469,75.0,98.0,16.0,3.00,Normal
3088,1496,75.0,98.0,16.0,3.00,Normal
2899,1404,75.0,98.0,16.0,3.00,Normal
2490,1206,75.0,98.0,16.0,3.00,Normal
1929,936,75.0,98.0,16.0,3.00,Normal
1354,658,75.0,98.0,16.0,3.00,Normal
948,463,75.0,98.0,16.0,3.00,Normal
798,389,75.0,98.0,16.0,3.00,Normal
812,394,75.0,98.0,16.0,3.00,Normal
842,407,75.0,98.0,16.0,3.00,Normal
821,396,75.0,98.0,16.0,3.00,Normal
756,364,75.0,98.0,16.0,3.00,Normal
668,320,75.0,98.0,16.0,3.00,Normal
569,271,75.0,98.0,16.0,3.00,Normal
466,221,75.0,98.0,16.0,3.00,Normal
366,172,75.0,98.0,16.0,3.00,Normal
275,127,75.0,98.0,16.0,3.00,Normal
196,88,75.0,98.0,16.0,3.00,Normal
132,56,75.0,98.0,16.0,3.00,Normal
82,30,75.0,98.0,16.0,3.00,Normal
45,11,75.0,98.0,16.0,3.00,Normal
19,-1,75.0,98.0,16.0,3.00,Normal
0,-11,75.0,98.0,16.0,3.00,Normal
-11,-18,75.0,98.0,16.0,3.00,Normal
-20,-24,75.0,98.0,16.0,3.00,Normal
-25,-27,75.0,98.0,16.0,3.00,Normal
-29,-30,75.0,98.0,16.0,3.00,Normal
-32,-33,75.0,98.0,16.0,3.00,Normal
-35,-35,75.0,98.0,16.0,3.00,Normal
-37,-37,75.0,98.0,16.0,3.00,Normal
-39,-39,75.0,98.0,16.0,3.00,Normal
-41,-41,75.0,98.0,16.0,3.00,Normal
-43,-43,75.0,98.0,16.0,3.00,Normal
-44,-44,75.0,98.0,16.0,3.00,Normal
-46,-46,75.0,98.0,16.0,3.00,Normal
-47,-47,75.0,98.0,16.0,3.00,Normal
-49,-49,75.0,98.0,16.0,3.00,Normal
651,286,75.0,98.0,16.0,3.00,Normal
1025,465,75.0,98.0,16.0,3.00,Normal
1456,671,75.0,98.0,16.0,3.00,Normal
1876,872,75.0,98.0,16.0,3.00,Normal
2204,1029,75.0,98.0,16.0,3.00,Normal
2368,1107,75.0,98.0,16.0,3.00,Normal
2330,1088,75.0,98.0,16.0,3.00,Normal
2096,975,75.0,98.0,16.0,3.00,Normal
1703,786,75.0,98.0,16.0,3.00,Normal
1229,558,75.0,98.0,16.0,3.00,Normal
814,358,75.0,98.0,16.0,3.00,Normal
588,250,75.0,98.0,16.0,3.00,Normal
548,230,75.0,98.0,16.0,3.00,Normal
577,244,75.0,98.0,16.0,3.00,Normal
582,246,75.0,98.0,16.0,3.00,Normal
546,229,75.0,98.0,16.0,3.00,Normal
484,199,75.0,98.0,16.0,3.00,Normal
410,163,75.0,98.0,16.0,3.00,Normal
331,125,75.0,98.0,16.0,3.00,Normal
253,87,75.0,98.0,16.0,3.00,Normal
180,52,75.0,98.0,16.0,3.00,Normal
116,22,75.0,98.0,16.0,3.00,Normal
64,-2,75.0,98.0,16.0,3.00,Normal
23,-22,75.0,98.0,16.0,3.00,Normal
-6,-36,75.0,98.0,16.0,3.00,Normal
-27,-46,75.0,98.0,16.0,3.00,Normal
-41,-52,75.0,98.0,16.0,3.00,Normal
-49,-56,75.0,98.0,16.0,3.00,Normal
-54,-58,75.0,98.0,16.0,3.00,Normal
-57,-59,75.0,98.0,16.0,3.00,Normal
-58,-59,75.0,98.0,16.0,3.00,Normal
-58,-59,75.0,98.0,16.0,3.00,Normal
