IR_Raw,RED_Raw,HR_BPM,SpO2_%,RR_BPM,PI_%,Condition
7,6,92.0,98.0,16.0,3.00,Strong Perf.
6,6,92.0,98.0,16.0,3.00,Strong Perf.
5,5,92.0,98.0,16.0,3.00,Strong Perf.
5,5,92.0,98.0,16.0,3.00,Strong Perf.
5,5,92.0,98.0,16.0,3.00,Strong Perf.
5,5,92.0,98.0,16.0,3.00,Strong Perf.
4,4,92.0,98.0,16.0,3.00,Strong Perf.
4,4,92.0,98.0,16.0,3.00,Strong Perf.
4,4,92.0,98.0,16.0,3.00,Strong Perf.
4,4,92.0,98.0,16.0,3.00,Strong Perf.
4,4,92.0,98.0,16.0,3.00,Strong Perf.
7,5,92.0,98.0,16.0,3.00,Strong Perf.
16,9,92.0,98.0,16.0,3.00,Strong Perf.
34,18,92.0,98.0,16.0,3.00,Strong Perf.
60,30,92.0,98.0,16.0,3.00,Strong Perf.
80,40,92.0,98.0,16.0,3.00,Strong Perf.
83,41,92.0,98.0,16.0,3.00,Strong Perf.
67,33,92.0,98.0,16.0,3.00,Strong Perf.
45,23,92.0,98.0,16.0,3.00,Strong Perf.
30,15,92.0,98.0,16.0,3.00,Strong Perf.
12,6,92.0,98.0,16.0,3.00,Strong Perf.
9,5,92.0,98.0,16.0,3.00,Strong Perf.
36,18,92.0,98.0,16.0,3.00,Strong Perf.
45,22,92.0,98.0,16.0,3.00,Strong Perf.
46,22,92.0,98.0,16.0,3.00,Strong Perf.
44,21,92.0,98.0,16.0,3.00,Strong Perf.
38,18,92.0,98.0,16.0,3.00,Strong Perf.
30,14,92.0,98.0,16.0,3.00,Strong Perf.
22,10,92.0,98.0,16.0,3.00,Strong Perf.
14,6,92.0,98.0,16.0,3.00,Strong Perf.
8,3,92.0,98.0,16.0,3.00,Strong Perf.
4,1,92.0,98.0,16.0,3.00,Strong Perf.
1,0,92.0,98.0,16.0,3.00,Strong Perf.
0,0,92.0,98.0,16.0,3.00,Strong Perf.
0,-1,92.0,98.0,16.0,3.00,Strong Perf.
-1,-1,92.0,98.0,16.0,3.00,Strong Perf.
-1,-1,92.0,98.0,16.0,3.00,Strong Perf.
-2,-2,92.0,98.0,16.0,3.00,Strong Perf.
-2,-2,92.0,98.0,16.0,3.00,Strong Perf.
-2,-2,92.0,98.0,16.0,3.00,Strong Perf.
-2,-2,92.0,98.0,16.0,3.00,Strong Perf.
-3,-3,92.0,98.0,16.0,3.00,Strong Perf.
-3,-3,92.0,98.0,16.0,3.00,Strong Perf.
-3,-3,92.0,98.0,16.0,3.00,Strong Perf.
-3,-3,92.0,98.0,16.0,3.00,Strong Perf.
0,-2,92.0,98.0,16.0,3.00,Strong Perf.
8,1,92.0,98.0,16.0,3.00,Strong Perf.
35,14,92.0,98.0,16.0,3.00,Strong Perf.
54,23,92.0,98.0,16.0,3.00,Strong Perf.
59,26,92.0,98.0,16.0,3.00,Strong Perf.
48,20,92.0,98.0,16.0,3.00,Strong Perf.
30,12,92.0,98.0,16.0,3.00,Strong Perf.
17,5,92.0,98.0,16.0,3.00,Strong Perf.
2,-1,92.0,98.0,16.0,3.00,Strong Perf.
2,-1,92.0,98.0,16.0,3.00,Strong Perf.
22,8,92.0,98.0,16.0,3.00,Strong Perf.
28,10,92.0,98.0,16.0,3.00,Strong Perf.
29,11,92.0,98.0,16.0,3.00,Strong Perf.
27,10,92.0,98.0,16.0,3.00,Strong Perf.
22,7,92.0,98.0,16.0,3.00,Strong Perf.
15,4,92.0,98.0,16.0,3.00,Strong Perf.
9,1,92.0,98.0,16.0,3.00,Strong Perf.
3,-1,92.0,98.0,16.0,3.00,Strong Perf.
0,-3,92.0,98.0,16.0,3.00,Strong Perf.
-3,-4,92.0,98.0,16.0,3.00,Strong Perf.
-4,-5,92.0,98.0,16.0,3.00,Strong Perf.
-5,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-6,-6,92.0,98.0,16.0,3.00,Strong Perf.
-3,-4,92.0,98.0,16.0,3.00,Strong Perf.
4,-1,92.0,98.0,16.0,3.00,Strong Perf.
18,5,92.0,98.0,16.0,3.00,Strong Perf.
36,14,92.0,98.0,16.0,3.00,Strong Perf.
45,18,92.0,98.0,16.0,3.00,Strong Perf.
40,16,92.0,98.0,16.0,3.00,Strong Perf.
19,6,92.0,98.0,16.0,3.00,Strong Perf.
